"Beowulf" or the "Odyssey"	epic		
"M.A.S.H." star	Alda		
"No," on the braes	Nae	braes = hills	
"Take me to your ______"	Leader
"You bet!"	Yep		
"___ you ever?"	Did		
"____ Lang Syne"	Auld	Auld Lang Syne is a Scottish poem	http://en.wikipedia.org/wiki/Auld_Lang_Syne
"_____ the Barbarian	Conan
2-footed animal	biped	An ostrich is one of the fastest of living bipeds	
7 and 9	Odd		
Abbr. word in some high school names	prep		
Aborigine of Japan	Ainu	The Ainu are an indogenous people of Japan and Russia.	
Actor Brynner	Yul		http://en.wikipedia.org/wiki/Yul_Brynner
Actor Rachins	Alan	American TV actor	http://en.wikipedia.org/wiki/Alan_Rachins
Actress Patricia	Neal	Patricia Neal was an American actress	http://en.wikipedia.org/wiki/Patricia_Neal
Admission ___	Fee
Afro or updo	coif		
Airport closer	fog		
Almod confection	paste	Almond paste is made from ground almonds or almond meal and sugar in equal quantities, with small amounts of cooking oil, beaten eggs, heavy cream or corn syrup added as a binder.	http://en.wikipedia.org/wiki/Almond_paste
Alpine refrain	Yodel	A refrain is a regularly repeated group of lines in a poem or song. To yodel is to sing by suddenly changing from a natural voice to a falsetto and back.	https://www.youtube.com/watch?v=6ByWb2ufpgQ , https://www.youtube.com/watch?v=B00nfVc4FPI
Alter to make fit	Adapt
Ancient seafaring people	Phoenicians		
Animal that barks	seal
Ante up	Pay		
Ark. neighbor	Okla	Oklahoma is on the west side of Arkansas	http://www.mapsofworld.com/usa/usa-state-and-capital-map.html
asian nannies	amahs		
Average grades	Cees
Avoid a big wedding	elope
Baby bird's cry	cheep		
Back out	renege		
Backstreets	Alleys		
Bad-smelling	foul		
Barking marine mammal	seal		
Batter's nemesis	Back Spin		
Battery's "+" end	Anode		
Bays	Coves	A cove is a small type of bay or coastal inlet.	http://en.wikipedia.org/wiki/Cove
Be my guest	Yes		
Begged	Pled		
Between ports	asea	asea means toward the sea; at the sea; on the sea
Big brawls	Melees		
Big shot	Honcho		
Bird abode	Tree		
Bird-feeder treat	Suet		
Bits of thread	Lint		
Blacken, as steak	char		
Blunt end	stub		http://en.wiktionary.org/wiki/stub
Bona ____	Fide	bona fide means made in good faith without fraud or deceit.
Booster rocket	Agena		
Boredom	Ennui		
Bottle holding wine or coffee	carafe		
British tavern	pub		
Bronte heroine Jane ____	Eyre	Jane Eyre is a title character in the novel "Jane Eyre: An Autobiography" by Charlotte Brontë.	https://en.wikipedia.org/wiki/Jane_Eyre
Burden	Lade		
Burnoose wearer	Arab	Burnous, is a long cloak of coarse woollen fabric with a hood, usually white in color, worn by Berbers and the Arabs throughout North Africa.	http://en.wikipedia.org/wiki/Burnoose
Business wear	Necktie
Cajun country	Louisiana
Campaign topic	Issue		
Canister	bin		
Carnaby Street locale	Soho	It is a street in London famous ffor fashion and lifestyle retailers, including a large number of independent fashion boutiques	http://en.wikipedia.org/wiki/Carnaby_Street
Caution	warn		
Cavalry sword	Saber		
CD-____	Roms		
Ceremonial smoke (2 wds.)	peace pipe	It is a type of smoking pipe used by a number of Native American cultures in their sacred ceremonies.	https://en.wikipedia.org/wiki/Ceremonial_pipe
Chemist's reading matter? (2 wds.)	Litmus Paper		
Chinese food additive	MSG
Chip in	help
Chlorophyll locale	leaf
Choice mushrooms (2 wds.)	Inky Caps
Clamor	Noise		
Class	ilk	Ilk means a type, race or category; a group of entities that have common characteristics such that they may be grouped together.	
Clickety-_____	clack		
Clothing	duds		http://en.wiktionary.org/wiki/duds
clue	answer		
Coke or Pepsi	Soda
Colorful percher	Oriole	Oriole is a type of bird.	http://en.wiktionary.org/wiki/oriole
Compares	Likens	to liken is to compare
Complained	moaned	To moan = To complain about	http://en.wiktionary.org/wiki/moan
Conductor	Maestro		
Conductor's baton	Wand		
Confides in (2 wds.)	Opens up		
Confusing (3 wds.)	Clear as mud
Contend	vie		
Contributing cause	Factor		
Cooking chamber	oven		
